chip_id,exp,color,default
33856402,G150_1,#2b020f,1
29750102,G150_3,#230011,0
33873202,G150_2,#15090d,0
33853802,G135_1,#08060e,0
33849902,G135_3,#000512,0
33853902,G180_3,#03060e,0
29759602,G180_1,#02090e,0
29634102,G180_2,#04070d,0
32848202,H2O2_1,#18020c,0
27746602,H2O2_3,#15010e,0
32844902,H2O2_2,#1b040b,0
29634702,Paraq_3,#151505,1
32848102,Paraq_2,#191705,0
29583002,Paraq_1,#141309,0
27746402,Oxctl_1,#201a07,0
27744902,Oxctl_2,#251a07,0
32839302,Oxctl_3,#231906,0
25351002,LBGexp_1,#1a2900,0
25350602,LBGexp_3,#1d2701,0
25350402,LBGexp_2,#1b3803,0
25339402,dia15_3,#392c0f,0
25339602,dia15_2,#28140d,1
25321902,dia15_1,#410613,0
27744702,Diami_3,#300d10,0
27744802,Diami_1,#361511,0
32848002,Diami_2,#361a0c,0
25348502,dia5_3,#572a0c,0
25340002,dia5_2,#61270e,0
25337802,dia5_1,#6b2c0e,0
39202602,C90_2,#668b0c,1
39425302,C90_1,#648912,0
42068102,C30_2,#2b6d18,0
42359802,C30_1,#286f1a,0
25340802,Cold_3,#2ab014,0
25344502,Cold_2,#2cb214,0
25347802,Cold_1,#2eb011,1
11962902,LPh_1,#2a9905,0
11953902,LPh_2,#239902,0
11971902,LPh_3,#229a03,0
11955202,HPh_3,#29a007,0
11953802,HPh_2,#2ba205,0
11946602,HPh_1,#2ca305,0
32848402,aero_2,#3db512,0
32839402,aero_3,#35aa18,0
32848902,aero_1,#17a51c,1
32848802,nit_2,#55ba3e,0
32848702,nit_3,#48b356,0
32848302,nit_1,#2aa866,0
32835902,ferm_1,#3da665,0
32875102,ferm_3,#47a657,0
32848502,ferm_2,#5caf3d,1
10236602,GM+150_2,#71e01f,0
27733202,M9tran_2,#68ed1d,0
27733002,M9tran_1,#67f01d,0
27728702,M9tran_3,#5ef81f,0
17170002,MG+150_1,#53f214,0
14630502,MG+150_3,#4eeb12,0
10237002,MG+120_1,#57ec15,0
17176202,MG+120_2,#59f214,0
14633902_01,MG+120_3,#51eb12,0
14625202,MG+90_3,#2cd608,1
10219102,MG+90_2,#2cd809,0
10218902,MG+60_2,#24cf09,0
10218602,MG+45_2,#22ce0c,0
17245002,MG+60_3,#22c909,0
14632602,MG+45_3,#20c808,0
14627102,MG+25_3,#23c709,0
24698102,MG+15_3,#21ca0b,0
20974702,MG+5_3,#2aca0d,0
10326302,MG+10_3,#22ca0f,0
10374502,MG+t5_2,#28d50e,0
10217502,MG+10_2,#20d50d,0
17000602,MG+15_2,#21d40c,0
10218502,MG+25_2,#24d10c,0
10229802,MG+45_1,#23d70f,0
17138402,MG+25_1,#1fd60f,1
17176602,MG+15_1,#1adb11,0
16976802,MG+10_1,#1cdd12,0
10226702,MG+5_1,#23de16,0
10410402,MG-0.1_1,#2ccf1b,0
10238002,MG-0.1_2,#35cb12,0
10331702,MG-0.2_2,#34ca12,0
10223302,MG-0.1_3,#36c010,0
10226602,MG-0.2_3,#37c011,0
15362102,G+S_1,#34c80f,0
15354002,Fru_1,#32c811,0
15525402,Glucon_3,#54db19,0
10240202,GM-0.2_1,#3dea17,1
10236302,GM-0.1_1,#3fed16,0
16991902,GM-0.1_3,#43f114,0
17183602,GM-0.2_3,#42f114,0
17239902,GM-0.2_2,#37e411,0
13973302,GM-0.1_2,#34e411,0
10211402,GM+5_2,#36dd10,0
10216402,GM+10_2,#2ed70d,0
10226802,GM+15_2,#2ad40e,0
16959802,GM+25_2,#21d80b,0
