Pos,WT_1,WT_2,WT_3,Drho_1,Drho_2,Drho_3,CDS_Median,CDS_two_median,white
47,9.6101,9.7938,9.3756,9.3661,9.305,9.3938,10.1742,11.1742,2
69,9.5958,9.7809,9.3629,9.3419,9.2854,9.3762,10.1742,11.1742,2
89,9.5771,9.7701,9.35,9.3237,9.2725,9.3646,10.1742,11.1742,1
116,9.5995,9.781,9.4171,9.3337,9.2779,9.3598,10.1742,11.1742,1
140,9.6079,9.7939,9.4673,9.343,9.2784,9.3649,10.1742,11.1742,1
160,9.6089,9.8144,9.5079,9.3268,9.2641,9.3766,10.1742,11.1742,1
182,9.6154,9.8324,9.5346,9.3218,9.255,9.4136,10.1742,11.1742,1
199,9.613,9.8477,9.5356,9.2975,9.1575,9.3981,10.1742,11.1742,1
221,9.6077,9.8794,9.527,9.291,9.1126,9.362,10.1742,11.1742,1
246,9.6014,9.949,9.5402,9.3014,9.1051,9.3517,10.1742,11.1742,1
265,9.5972,9.9556,9.5399,9.3023,9.0993,9.3354,10.1742,11.1742,1
290,9.6028,9.9742,9.5656,9.3187,9.1026,9.3378,10.1742,11.1742,1
312,9.6081,9.9792,9.5915,9.3337,9.102,9.3429,10.1742,11.1742,1
331,9.5509,9.9675,9.575,9.2985,9.0193,9.3265,10.1742,11.1742,1
353,9.2571,9.9403,9.4264,8.82,8.7594,8.5702,10.1742,11.1742,1
375,9.0566,9.8734,9.2202,8.7071,8.6263,8.451,10.1742,11.1742,1
398,8.1105,8.4397,8.0618,7.6649,7.5585,7.5392,10.1742,11.1742,1
419,8.0671,8.3833,7.6814,7.637,7.5438,7.4962,10.1742,11.1742,1
445,8.0769,8.4153,7.6903,7.6776,7.5903,7.5059,10.1742,11.1742,1
464,9.0574,9.5467,9.2796,8.8102,8.1729,8.4489,10.1742,11.1742,1
491,9.0592,9.5351,9.2758,8.7808,8.2137,8.4374,10.1742,11.1742,1
508,9.0177,9.4776,9.2541,8.6512,8.1748,8.2861,10.1742,11.1742,1
534,8.9277,9.3584,9.2245,8.5452,8.1424,8.2703,10.1742,11.1742,1
558,8.8435,9.2486,9.206,8.5493,8.1334,8.1869,10.1742,11.1742,1
580,8.6532,8.9786,9.1396,8.4975,8.1075,8.0451,10.1742,11.1742,1
604,8.6059,8.956,9.1616,8.485,8.1043,8.0417,10.1742,11.1742,1
626,8.5271,8.9203,8.8037,8.2977,7.8823,7.917,10.1742,11.1742,1
642,8.3777,8.8508,8.5879,8.1304,7.746,7.8604,10.1742,11.1742,1
661,8.3562,8.812,8.4984,8.104,7.7327,7.849,10.1742,11.1742,1
683,8.3847,8.8346,8.5685,8.2126,7.7872,7.905,10.1742,11.1742,1
706,8.4301,8.8436,8.6834,8.3744,7.9217,7.9443,10.1742,11.1742,1
729,8.4415,8.8387,8.6833,8.3593,7.9427,7.9471,10.1742,11.1742,1
753,8.4379,8.7999,8.6505,8.2585,7.9299,7.9451,10.1742,11.1742,1
774,8.3976,8.6198,8.4021,7.9354,7.855,7.686,10.1742,11.1742,1
793,7.7675,8.1224,7.6455,7.7157,7.3906,7.5565,10.1742,11.1742,1
816,7.4294,7.8778,7.5939,7.6007,7.3012,7.5028,10.1742,11.1742,1
838,7.4133,7.7763,7.5569,7.5899,7.2924,7.4928,10.1742,11.1742,1
869,7.4042,7.6499,7.5529,7.5229,7.2885,7.4751,10.1742,11.1742,1
891,7.4015,7.5741,7.5494,7.4678,7.282,7.4587,10.1742,11.1742,1
913,7.4015,7.5156,7.5492,7.4483,7.2774,7.3653,10.1742,11.1742,1
926,7.4103,7.5109,7.5509,7.444,7.288,7.3567,10.1742,11.1742,1
954,7.4114,7.5253,7.5513,7.4312,7.2988,7.3518,10.1742,11.1742,1
971,7.4103,7.524,7.5538,7.4213,7.2987,7.3561,10.1742,11.1742,1
992,7.4066,7.5421,7.5552,7.4293,7.3002,7.353,10.1742,11.1742,1
