PosV3,WT_1,WT_2,WT_3,Drho_1,Drho_2,Drho_3,brown,brown,brown,white
33,0.1042,-0.1173,-0.0677,-0.406,-0.3538,-0.4617,2.3219,3.3219,0,2
52,0.0661,-0.1549,-0.1052,-0.4378,-0.3854,-0.4948,2.3219,3.3219,0,2
71,0.0277,-0.1928,-0.1431,-0.4699,-0.4173,-0.5282,2.3219,3.3219,0,2
94,-0.0111,-0.2311,-0.1814,-0.5022,-0.4495,-0.5619,2.3219,3.3219,0,1
118,-0.0161,-0.2447,-0.1717,-0.5028,-0.4389,-0.5528,2.3219,3.3219,0,1
140,-0.032,-0.2305,-0.1698,-0.5089,-0.3957,-0.5581,2.3219,3.3219,0,1
165,3.9045,2.5409,3.8571,2.6236,1.6233,2.8251,2.3219,3.3219,0,1
187,7.2771,7.3053,7.5635,6.2678,5.9179,6.1944,2.3219,3.3219,0,1
209,7.31,7.3153,7.5481,6.2802,5.9515,6.1786,2.3219,3.3219,0,1
230,7.2706,7.2863,7.3878,6.1827,5.9707,6.0715,2.3219,3.3219,0,1
251,7.2582,7.2689,7.3779,6.1507,5.9901,6.0309,2.3219,3.3219,0,1
275,7.2716,7.2456,7.3753,6.1367,6.0084,6.0273,2.3219,3.3219,0,1
297,7.2693,7.1892,7.3557,6.1061,6.003,6.0119,2.3219,3.3219,0,1
319,7.2625,7.1545,7.3332,6.0717,6.0008,5.9965,2.3219,3.3219,0,1
341,7.2642,7.1334,7.3271,6.0647,6.0124,5.9929,2.3219,3.3219,0,1
363,7.2406,7.0776,7.3031,6.0469,6.0247,5.9885,2.3219,3.3219,0,1
382,7.1372,7.0294,7.2637,5.9903,6.0152,5.9708,2.3219,3.3219,0,1
404,7.0905,6.9948,7.2437,5.9319,6.0093,5.9597,2.3219,3.3219,0,1
422,6.9841,6.9243,7.2312,5.8561,5.9742,5.9359,2.3219,3.3219,0,1
447,6.9072,6.8199,7.1923,5.7896,5.9261,5.8171,2.3219,3.3219,0,1
468,6.8156,6.5413,7.0334,5.6986,5.7913,5.6596,2.3219,3.3219,0,1
488,6.7474,6.4571,6.9098,5.6762,5.7498,5.6173,2.3219,3.3219,0,1
512,6.6916,6.3578,6.8518,5.603,5.6766,5.582,2.3219,3.3219,0,1
529,6.6218,6.2612,6.8063,5.4893,5.5458,5.5456,2.3219,3.3219,0,1
552,6.582,6.2405,6.7753,5.4329,5.4793,5.5104,2.3219,3.3219,0,1
576,6.5601,6.2266,6.7396,5.3736,5.4108,5.399,2.3219,3.3219,0,1
604,6.5503,6.2126,6.6858,5.3377,5.3781,5.3572,2.3219,3.3219,0,1
627,6.5569,6.1956,6.6248,5.3038,5.3594,5.3413,2.3219,3.3219,0,1
648,6.5548,6.1932,6.6157,5.2863,5.3548,5.3217,2.3219,3.3219,0,1
666,6.5481,6.1659,6.5888,5.2724,5.3218,5.2681,2.3219,3.3219,0,1
686,6.5315,6.077,6.5495,5.2274,5.33,5.2355,2.3219,3.3219,0,1
714,6.5095,6.0541,6.4749,5.116,5.3032,5.1995,2.3219,3.3219,0,1
737,6.443,5.9752,6.2735,5.0362,5.2123,5.0627,2.3219,3.3219,0,1
758,6.3744,5.9199,6.2145,4.9595,5.1411,4.9448,2.3219,3.3219,0,1
780,6.3379,5.8916,6.1777,4.8248,5.0933,4.8382,2.3219,3.3219,0,1
794,6.318,5.8766,6.1639,4.7968,5.0748,4.8261,2.3219,3.3219,0,1
824,6.3001,5.8707,6.1612,4.7974,5.061,4.8403,2.3219,3.3219,0,1
840,6.3012,5.8657,6.1658,4.8094,5.0707,4.8622,2.3219,3.3219,0,1
867,6.2999,5.8659,6.1897,4.8824,5.1041,4.9348,2.3219,3.3219,0,1
881,6.2966,5.8636,6.2235,4.9289,5.153,4.9662,2.3219,3.3219,0,1
913,6.2845,5.8626,6.2409,4.9358,5.1551,4.9804,2.3219,3.3219,0,1
935,6.2583,5.8606,6.2451,4.9287,5.1429,4.971,2.3219,3.3219,0,1
957,6.256,5.8638,6.2786,4.9418,5.1504,4.9925,2.3219,3.3219,0,1
979,6.2432,5.8594,6.2916,4.9351,5.1483,4.9957,2.3219,3.3219,0,1
995,6.237,5.8549,6.3022,4.9293,5.1525,5.0013,2.3219,3.3219,0,1
1021,6.2329,5.862,6.3206,4.928,5.1657,5.0074,2.3219,3.3219,0,1
1042,6.2347,5.8672,6.3474,4.9308,5.1741,5.0403,2.3219,3.3219,0,1
1067,6.2359,5.8715,6.3759,4.9432,5.199,5.1087,2.3219,3.3219,0,1
1089,6.2299,5.8688,6.4551,4.9596,5.2833,5.1578,2.3219,3.3219,0,1
